time,light
2025-04-19T15:08:00Z,2196
2025-04-19T15:09:00Z,2261
2025-04-19T15:10:00Z,2330
2025-04-19T15:11:00Z,1782
2025-04-19T15:12:00Z,1712
2025-04-19T15:13:00Z,2272
2025-04-19T15:14:00Z,1759
2025-04-19T15:15:00Z,2315
2025-04-19T15:16:00Z,2236
2025-04-19T15:17:00Z,2171
2025-04-19T15:18:00Z,2131
2025-04-19T15:19:00Z,2307
2025-04-19T15:20:00Z,2306
2025-04-19T15:21:00Z,2304
2025-04-19T15:22:00Z,2305
2025-04-19T15:23:00Z,2253
2025-04-19T15:24:00Z,1881
2025-04-19T15:25:00Z,2288
2025-04-19T15:26:00Z,2289
2025-04-19T15:27:00Z,2288
2025-04-19T15:28:00Z,2288
2025-04-19T15:29:00Z,2290
2025-04-19T15:30:00Z,2288
2025-04-19T15:31:00Z,2287
2025-04-19T15:32:00Z,2286
2025-04-19T15:33:00Z,2286
2025-04-19T15:34:00Z,2283
2025-04-19T15:35:00Z,2283
2025-04-19T15:36:00Z,2283
2025-04-19T15:37:00Z,2284
2025-04-19T15:38:00Z,2283
2025-04-19T15:39:00Z,2282
2025-04-19T15:40:00Z,2284
2025-04-19T15:41:00Z,2280
2025-04-19T15:42:00Z,2283
2025-04-19T15:43:00Z,2281
2025-04-19T15:44:00Z,2284
2025-04-19T15:45:00Z,2282
2025-04-19T15:46:00Z,2281
2025-04-19T15:47:00Z,2281
2025-04-19T15:48:00Z,2281
2025-04-19T15:49:00Z,2280
2025-04-19T15:50:00Z,2280
2025-04-19T15:51:00Z,2281
2025-04-19T15:52:00Z,2279
2025-04-19T15:53:00Z,2278
2025-04-19T15:54:00Z,2283
2025-04-19T15:55:00Z,2282
2025-04-19T15:56:00Z,2285
2025-04-19T15:57:00Z,2280
2025-04-19T15:58:00Z,2279
2025-04-19T15:59:00Z,2279
2025-04-19T16:00:00Z,2281
2025-04-19T16:01:00Z,2282
2025-04-19T16:02:00Z,2281
2025-04-19T16:03:00Z,2279
2025-04-19T16:04:00Z,2277
2025-04-19T16:05:00Z,2281
2025-04-19T16:06:00Z,2280
2025-04-19T16:07:00Z,2280
2025-04-19T16:08:00Z,2282
2025-04-19T16:09:00Z,2279
2025-04-19T16:10:00Z,2280
2025-04-19T16:11:00Z,2282
2025-04-19T16:12:00Z,2280
2025-04-19T16:13:00Z,2280
2025-04-19T16:14:00Z,2279
2025-04-19T16:15:00Z,2280
2025-04-19T16:16:00Z,2279
2025-04-19T16:17:00Z,2280